Title,Author,Category,Format,ISBN,Publication Year,Date Read
The Shaping of Middle-earth,J.R.R. Tolkien,Fiction,BOOK,9780345400437,1995-10-30,NULL
The Shaping of Middle-earth,Christopher Tolkien,Fiction,BOOK,9780345400437,1995-10-30,NULL
The Lost Road and Other Writings,J.R.R. Tolkien,Fiction,BOOK,9780345406859,1996-09-30,NULL
His Dark Materials: The Golden Compass (Book 1),Philip Pullman,Juvenile Fiction,BOOK,9780440418320,2001-05-22,NULL
His Dark Materials: The Subtle Knife (Book 2),Philip Pullman,Juvenile Fiction,BOOK,9780440418337,2001-05-22,NULL
The Amber Spyglass,Philip Pullman,Juvenile Fiction,BOOK,9780440418566,2003,NULL
"The Percy Jackson and the Olympians, Book Two: Sea of Monsters",Rick Riordan,Cooking,BOOK,9781423103349,2007-03-20,NULL
"The Percy Jackson and the Olympians, Book Three: Titan's Curse",Rick Riordan,Juvenile Fiction,BOOK,9781423101482,2008-04-08,NULL
"The Percy Jackson and the Olympians, Book Four: Battle of the Labyrinth",Rick Riordan,Juvenile Fiction,BOOK,9781423101499,2009-04-07,NULL
"Percy Jackson and the Olympians, Book Five: The Last Olympian",Rick Riordan,Juvenile Fiction,BOOK,9781423101505,2011-01-25,NULL
Ender's Game,Orson Scott Card,Fiction,BOOK,9781250773012,2021-04-27,NULL
Speaker for the Dead,Orson Scott Card,Fiction,BOOK,9781250773050,2021-06-29,NULL
Xenocide,Orson Scott Card,Fiction,BOOK,9781250773074,2021-06-29,NULL
Children of the Mind,Orson Scott Card,Fiction,BOOK,9781250773098,2021-08-24,NULL
Ender in Exile,Orson Scott Card,Fiction,BOOK,9781250773111,2021-08-24,NULL
A Short History of Nearly Everything,Bill Bryson,History,BOOK,9780767908184,2004-09-14,NULL
The Gunslinger,Stephen King,Fiction,BOOK,9780452284692,2003,NULL
The Name of the Wind,Patrick Rothfuss,Fiction,BOOK,9780756405892,2009-04-07,NULL
Oathbringer,Brandon Sanderson,Fiction,BOOK,9780765326379,2017-11-14,NULL
A History of Russia,Nicholas Valentine Riasanovsky,History,BOOK,9780195033618,1984,NULL
Churchill's Great Escapes,Damien Lewis,History,BOOK,9780806542096,2022-04-26,NULL
Bombing Hitler,Hellmut G. Haasis,Biography & Autobiography,BOOK,9781616087418,2013-01-02,NULL
Digital Integrated Circuits,Jan M. Rabaey,Digital integrated circuits,BOOK,9780131786097,1996,NULL
Fundamentals of Software Engineering,Carlo Ghezzi,Computers,BOOK,9780138204327,1991,NULL
Fundamentals of Software Engineering,Mehdi Jazayeri,Computers,BOOK,9780138204327,1991,NULL
Fundamentals of Software Engineering,Dino Mandrioli,Computers,BOOK,9780138204327,1991,NULL
Programming in C with Numerical Methods for Engineers,Kamal B. Rojiani,C (Computer program language),BOOK,9780137264988,1996,NULL
"Harry Potter and the Order of the Phoenix (Harry Potter, Book 5)",J. K. Rowling,Juvenile Fiction,BOOK,9781338878967,2023-05-02,NULL
"Harry Potter and the Half-Blood Prince (Harry Potter, Book 6)",J. K. Rowling,Juvenile Fiction,BOOK,9781338878974,2023-05-02,NULL
"Harry Potter and the Deathly Hallows (Harry Potter, Book 7)",J. K. Rowling,Juvenile Fiction,BOOK,9781338878981,2023-05-02,NULL
"Harry Potter and the Chamber of Secrets (Harry Potter, Book 2)",J. K. Rowling,Juvenile Fiction,BOOK,9781338878936,2023-05-02,NULL
"Harry Potter and the Prisoner of Azkaban (Harry Potter, Book 3)",J. K. Rowling,Juvenile Fiction,BOOK,9781338878943,2023-05-02,NULL
A Dance with Dragons,George R. R. Martin,Fiction,BOOK,9780553582017,2013-10-29,NULL
A Feast for Crows,George R. R. Martin,Fiction,BOOK,9780553582024,2006-09-26,NULL
A Storm of Swords,George R. R. Martin,Fiction,BOOK,9780553573428,2003-03-04,NULL
A Clash of Kings,George R. R. Martin,Fiction,BOOK,9780553579901,2000-09-05,NULL
Survivor's Quest: Star Wars Legends,Timothy Zahn,Fiction,BOOK,9780593600610,2023-08-15,NULL
Shadow Hunter: Star Wars Legends (Darth Maul),Michael Reaves,Fiction,BOOK,9780593497050,2022-08-02,NULL
Shadows of the Empire: Star Wars Legends,Steve Perry,Fiction,BOOK,9780593974766,2025-06-03,NULL
Kenobi: Star Wars Legends,John Jackson Miller,Fiction,BOOK,9780593497029,2022-04-05,NULL
Outbound Flight: Star Wars Legends,Timothy Zahn,Fiction,BOOK,9780593600603,2023-08-15,NULL
The Godfather,Mario Puzo,Fiction,BOOK,9780451205766,2002-03-01,NULL
Percy Jackson And The Olympians,Rick Riordan,Young Fiction,BOOK,9780786838653,04/01/2005,NULL
Harry Potter And The Goblet Of Fire,J. K. Rowling,Young Fiction,BOOK,9781338878950,06/01/2000,NULL
24 Hours In Ancient China,Dr Yijie Zhuang,History,BOOK,9781789296488,2000-01-01,NULL
"A People""s History Of The United States 1492-Present",Howard Zinn,History,BOOK,9780060926434,1995-01-01,NULL
